hunmin,jamo,chosung,simplified,traditional,intonation,priority
거우 졔,ㄱㅓㅇㅜㅈㅖ,ㄱㅇㅈ,勾结 ,,"1,2",1
거우 쯔,ㄱㅓㅇㅜㅉㅡ,ㄱㅇㅉ,钩子 ,,"1,0",1
거우 쳥,ㄱㅓㅇㅜㅊㅕㅇ,ㄱㅇㅊ,构成 ,,"4,2",1
거우 퉁,ㄱㅓㅇㅜㅌㅜㅇ,ㄱㅇㅌ,沟通 ,,"1,1",1
거쥐,ㄱㅓㅈㅜㅣ,ㄱㅈ,格局 ,,"2,2",1
거쯔,ㄱㅓㅉㅡ,ㄱㅉ,各自 ,,"4,4",1
거쯔,ㄱㅓㅉㅡ,ㄱㅉ,个子 ,,"4,0",3
거쯔,ㄱㅓㅉㅡ,ㄱㅉ,鸽子 ,,"1,0",2
거티,ㄱㅓㅌㅣ,ㄱㅌ,个体 ,,"4,3",1
거허,ㄱㅓㅎㅓ,ㄱㅎ,隔阂 ,,"2,2",1
건,ㄱㅓㄴ,ㄱ,根,根,1,2
건,ㄱㅓㄴ,ㄱ,跟,跟,1,1
건 션 디 구,ㄱㅓㄴㅅㅕㄴㄷㅣㄱㅜ,ㄱㅅㄷㄱ,根深蒂固 ,,"1,1,4,4",1
건 수이,ㄱㅓㄴㅅㅜㅇㅣ,ㄱㅅㅇ,跟随 ,,"1,2",1
건 위안,ㄱㅓㄴㅇㅜㅣㅇㅏㄴ,ㄱㅇㅇ,根源 ,,"1,2",1
건번,ㄱㅓㄴㅂㅓㄴ,ㄱㅂ,根本 ,,"1,3",1
건져,ㄱㅓㄴㅈㅕ,ㄱㅈ,跟着,,"1,0",1
건중,ㄱㅓㄴㅈㅜㅇ,ㄱㅈ,跟踪 ,,"1,1",1
건쥐,ㄱㅓㄴㅈㅜㅣ,ㄱㅈ,根据 ,,"1,4",1
건쳰,ㄱㅓㄴㅊㅖㄴ,ㄱㅊ,跟前 ,,"1,0",1
겅,ㄱㅓㅇ,ㄱ,羹,羹,1,3
겅,ㄱㅓㅇ,ㄱ,更,更,1,1
겅,ㄱㅓㅇ,ㄱ,更,更,4,2
겅 지아,ㄱㅓㅇㅈㅣㅇㅏ,ㄱㅈㅇ,更加 ,,"4,1",1
겅디,ㄱㅓㅇㄷㅣ,ㄱㄷ,耕地 ,,"1,4",1
겅신,ㄱㅓㅇㅅㅣㄴ,ㄱㅅ,更新 ,,"1,1",1
게이,ㄱㅔㅇㅣ,ㄱㅇ,给,給,3,1
게이 롄,ㄱㅔㅇㅣㄹㅖㄴ,ㄱㅇㄹ,给脸,,"3,3",1
게이 위,ㄱㅔㅇㅣㅇㅜㅣ,ㄱㅇㅇ,给予 ,,"3,3",1
과,ㄱㅗㅏ,ㄱ,挂,挂,4,1
과,ㄱㅗㅏ,ㄱ,刮,刮,1,2
과,ㄱㅗㅏ,ㄱ,褂,褂,4,4
과,ㄱㅗㅏ,ㄱ,瓜,瓜,1,3
과,ㄱㅗㅏ,ㄱ,夸,誇,1,5
과 하오,ㄱㅗㅏㅎㅏㅇㅗ,ㄱㅎㅇ,挂号 ,,"4,4",1
과 후 쯔,ㄱㅗㅏㅎㅜㅉㅡ,ㄱㅎㅉ,刮胡子 ,,"1,2,0",1
과이,ㄱㅗㅏㅇㅣ,ㄱㅇ,拐,拐,3,3
과이,ㄱㅗㅏㅇㅣ,ㄱㅇ,乖,乖,1,2
과이,ㄱㅗㅏㅇㅣ,ㄱㅇ,怪,怪,4,1
과이 부 더,ㄱㅗㅏㅇㅣㅂㅜㄷㅓ,ㄱㅇㅂㄷ,怪不得 ,,"4,0,0",1
과이 완,ㄱㅗㅏㅇㅣㅇㅗㅏㄴ,ㄱㅇㅇ,拐弯 ,,"3,1",1
과이 지아오,ㄱㅗㅏㅇㅣㅈㅣㅇㅏㅇㅗ,ㄱㅇㅈㅇㅇ,拐角 ,,"3,3",1
과ᅗᅥᆼ,ㄱㅗㅏㅍ`ㅓㅇ,ㄱㅍ`,刮风 ,,"1,1",1
관,ㄱㅗㅏㄴ,ㄱ,冠,冠,4,6
관,ㄱㅗㅏㄴ,ㄱ,罐,罐,4,7
관,ㄱㅗㅏㄴ,ㄱ,惯,慣,4,8
관,ㄱㅗㅏㄴ,ㄱ,管,管,3,2
관,ㄱㅗㅏㄴ,ㄱ,馆,馆,3,3
관,ㄱㅗㅏㄴ,ㄱ,官,官,1,4
관,ㄱㅗㅏㄴ,ㄱ,观,觀,1,5
관,ㄱㅗㅏㄴ,ㄱ,关,關,1,1
관 시아,ㄱㅗㅏㄴㅅㅣㅇㅏ,ㄱㅅㅇ,管辖 ,,"3,2",1
