hunmin,jamo,chosung,simplified,traditional,intonation,priority
아이 후,ㅇㅏㅇㅣㅎㅜ,ㅇㅇㅎ,爱护 ,,"4,4",1
안,ㅇㅏㄴ,ㅇ,岸,岸,4,5
안,ㅇㅏㄴ,ㅇ,按,按,4,1
안,ㅇㅏㄴ,ㅇ,案,案,4,4
안,ㅇㅏㄴ,ㅇ,暗,暗,4,3
안,ㅇㅏㄴ,ㅇ,安,安,1,2
안,ㅇㅏㄴ,ㅇ,广,广,1,6
안 시앙,ㅇㅏㄴㅅㅣㅇㅏㅇ,ㅇㅅㅇ,安详 ,,"1,2",1
안 웨이,ㅇㅏㄴㅇㅜㅔㅇㅣ,ㅇㅇㅇ,安慰 ,,"1,4",1
안 쟈오,ㅇㅏㄴㅈㅑㅇㅗ,ㅇㅈㅇ,按照 ,,"4,4",1
안 쥐 러 예,ㅇㅏㄴㅈㅜㅣㄹㅓㅇㅖ,ㅇㅈㄹㅇ,安居乐业 ,,"1,1,4,4",1
안 쥬앙,ㅇㅏㄴㅈㅠㅇㅏㅇ,ㅇㅈㅇ,安装 ,,"1,1",1
안 취안,ㅇㅏㄴㅊㅜㅣㅇㅏㄴ,ㅇㅊㅇ,安全 ,,"1,2",1
안 파이,ㅇㅏㄴㅍㅏㅇㅣ,ㅇㅍㅇ,安排 ,,"1,2",1
안닝,ㅇㅏㄴㄴㅣㅇ,ㅇㄴ,安宁 ,,"1,2",1
안리,ㅇㅏㄴㄹㅣ,ㅇㄹ,案例 ,,"4,4",1
안모,ㅇㅏㄴㅁㅗ,ㅇㅁ,按摩 ,,"4,2",1
안ᄵᅳ,ㅇㅏㄴㅅ`ᅳ,ㅇㅅ`,暗示 ,,"4,4",1
안ᄵᅳ,ㅇㅏㄴㅅ`ᅳ,ㅇㅅ`,按时 ,,"4,2",2
안졘,ㅇㅏㄴㅈㅖㄴ,ㅇㅈ,案件 ,,"4,4",1
안징,ㅇㅏㄴㅈㅣㅇ,ㅇㅈ,安静 ,,"1,4",1
안ᅍᅳ,ㅇㅏㄴㅈ`ᅳ,ㅇㅈ`,安置 ,,"1,4",1
앙,ㅇㅏㅇ,ㅇ,昂,昂,2,1
앙 구이,ㅇㅏㅇㄱㅜㅇㅣ,ㅇㄱㅇ,昂贵 ,,"2,4",1
야 ,ㅇㅑ,ㅇ,呀,呀,5,1
야 ,ㅇㅑ,ㅇ,讶,讶,4,7
야 ,ㅇㅑ,ㅇ,哑,啞,3,6
야 ,ㅇㅑ,ㅇ,押,押,1,5
야 ,ㅇㅑ,ㅇ,牙,牙,2,2
야 ,ㅇㅑ,ㅇ,压,壓,1,3
야 ,ㅇㅑ,ㅇ,鸭,鴨,1,4
야 가오,ㅇㅑㄱㅏㅇㅗ,ㅇㄱㅇ,牙膏 ,,"2,1",1
야 수이 쳰,ㅇㅑㅅㅜㅇㅣㅊㅖㄴ,ㅇㅅㅇㅊ,压岁钱 ,,"1,4,2",1
야 죠우,ㅇㅑㅈㅛㅇㅜ,ㅇㅈㅇ,亚洲 ,,"4,1",1
야리,ㅇㅑㄹㅣ,ㅇㄹ,压力,,"1,4",1
야숴,ㅇㅑㅅㅜㅓ,ㅇㅅ,压缩 ,,"1,1",1
야오,ㅇㅑㅇㅗ,ㅇㅇ,摇,摇,2,5
야오,ㅇㅑㅇㅗ,ㅇㅇ,遥,遥,2,7
야오,ㅇㅑㅇㅗ,ㅇㅇ,药,藥,4,2
야오,ㅇㅑㅇㅗ,ㅇㅇ,要,要,4,1
야오,ㅇㅑㅇㅗ,ㅇㅇ,钥,鑰,4,8
야오,ㅇㅑㅇㅗ,ㅇㅇ,咬,齩,3,4
야오,ㅇㅑㅇㅗ,ㅇㅇ,约,约,1,10
야오,ㅇㅑㅇㅗ,ㅇㅇ,腰,腰,1,3
야오,ㅇㅑㅇㅗ,ㅇㅇ,要,要,1,11
야오,ㅇㅑㅇㅗ,ㅇㅇ,邀,邀,1,6
야오,ㅇㅑㅇㅗ,ㅇㅇ,幺,幺,1,9
야오 군,ㅇㅑㅇㅗㄱㅜㄴ,ㅇㅇㄱ,摇滚 ,,"2,3",1
야오 뎬,ㅇㅑㅇㅗㄷㅖㄴ,ㅇㅇㄷ,要点 ,,"4,3",1
야오 밍,ㅇㅑㅇㅗㅁㅣㅇ,ㅇㅇㅁ,要命 ,,"4,4",1
야오 바이,ㅇㅑㅇㅗㅂㅏㅇㅣ,ㅇㅇㅂㅇ,摇摆 ,,"2,3",1
야오 부,ㅇㅑㅇㅗㅂㅜ,ㅇㅇㅂ,要不 ,,"4,4",1
야오 부 ᄛᅡᆫ,ㅇㅑㅇㅗㅂㅜㄹ`ㅏㄴ,ㅇㅇㅂㄹ`,要不然 ,,"4,0,2",1
야오 수,ㅇㅑㅇㅗㅅㅜ,ㅇㅇㅅ,要素 ,,"4,4",1
야오 ᄵᅳ,ㅇㅑㅇㅗㅅ`ᅳ,ㅇㅇㅅ`,钥匙 ,,"4,0",2
야오 ᄵᅳ,ㅇㅑㅇㅗㅅ`ᅳ,ㅇㅇㅅ`,要是 ,,"4,0",1
야오 야 쳬 ᅓᅳ,ㅇㅑㅇㅗㅇㅑㅊㅖㅊ`ᅳ,ㅇㅇㅇㅊㅊ`,咬牙切齿 ,,"3,2,4,3",1
야오 옌,ㅇㅑㅇㅗㅇㅖㄴ,ㅇㅇㅇ,谣言 ,,"2,2",2
야오 옌,ㅇㅑㅇㅗㅇㅖㄴ,ㅇㅇㅇ,耀眼 ,,"4,3",1
야오 위안,ㅇㅑㅇㅗㅇㅜㅣㅇㅏㄴ,ㅇㅇㅇㅇ,遥远 ,,"2,3",1
야오 치우,ㅇㅑㅇㅗㅊㅣㅇㅜ,ㅇㅇㅊㅇ,要求 ,,"1,2",1
야오 칭,ㅇㅑㅇㅗㅊㅣㅇ,ㅇㅇㅊ,邀请 ,,"1,3",1
야오 쿵,ㅇㅑㅇㅗㅋㅜㅇ,ㅇㅇㅋ,遥控 ,,"2,4",1
야오 쿵 치,ㅇㅑㅇㅗㅋㅜㅇㅊㅣ,ㅇㅇㅋㅊ,遥控器,,"2,4,4",1
야오 황,ㅇㅑㅇㅗㅎㅗㅏㅇ,ㅇㅇㅎ,摇晃 ,,"2,4",1
야이,ㅇㅑㅇㅣ,ㅇㅇ,压抑 ,,"1,4",1
야쟈,ㅇㅑㅈㅑ,ㅇㅈ,压榨 ,,"1,4",1
야쥔,ㅇㅑㅈㅜㅣㄴ,ㅇㅈ,亚军 ,,"4,1",1
야진,ㅇㅑㅈㅣㄴ,ㅇㅈ,押金 ,,"1,1",1
야ᅍᅳ,ㅇㅑㅈ`ᅳ,ㅇㅈ`,压制 ,,"1,4",1
야포,ㅇㅑㅍㅗ,ㅇㅍ,压迫 ,,"1,4",1
양,ㅇㅑㅇ,ㅇ,洋,洋,2,6
양,ㅇㅑㅇ,ㅇ,羊,羊,2,4
양,ㅇㅑㅇ,ㅇ,扬,扬,2,7
양,ㅇㅑㅇ,ㅇ,阳,陽,2,3
양,ㅇㅑㅇ,ㅇ,样,樣,4,1
양,ㅇㅑㅇ,ㅇ,仰,仰,3,8
양,ㅇㅑㅇ,ㅇ,痒,癢,3,5
양,ㅇㅑㅇ,ㅇ,养,養,3,2
양,ㅇㅑㅇ,ㅇ,央,央,1,9
양 ᄛᅥ우,ㅇㅑㅇㄹ`ㅓㅇㅜ,ㅇㄹ`ㅇ,羊肉 ,,"2,4",1
양 타이,ㅇㅑㅇㅌㅏㅇㅣ,ㅇㅌㅇ,阳台 ,,"2,2",1
양광,ㅇㅑㅇㄱㅗㅏㅇ,ㅇㄱ,阳光 ,,"2,1",1
옌광,ㅇㅖㄴㅇㄱㅗㅏㅇ,ㅇㄱ,眼光 ,,"3,1",1
양셩,ㅇㅑㅇㅅㅕㅇ,ㅇㅅ,养生 ,,"3,1",1
양ᄵᅳ,ㅇㅑㅇㅅ`ᅳ,ㅇㅅ`,样式 ,,"4,4",1
양쯔,ㅇㅑㅇㅉㅡ,ㅇㅉ,样子 ,,"4,0",1
양쳥,ㅇㅑㅇㅊㅕㅇ,ㅇㅊ,养成 ,,"3,2",1
양치,ㅇㅑㅇㅊㅣ,ㅇㅊ,氧气 ,,"3,4",1
양핀,ㅇㅑㅇㅍㅣㄴ,ㅇㅍ,样品 ,,"4,3",1
양훠,ㅇㅑㅇㅎㅜㅓ,ㅇㅎ,养活 ,,"3,0",1
어,ㅇㅓ,ㅇ,额,额,2,1
어,ㅇㅓ,ㅇ,饿,餓,4,2
어,ㅇㅓ,ㅇ,恶,惡,4,3
어 와이,ㅇㅓㅇㅗㅏㅇㅣ,ㅇㅇㅇ,额外 ,,"2,4",1
어시,ㅇㅓㅅㅣ,ㅇㅅ,恶习 ,,"4,2",1
어우,ㅇㅓㅇㅜ,ㅇㅇ,偶,偶,3,1
어우,ㅇㅓㅇㅜ,ㅇㅇ,欧,歐,1,2
어우 다,ㅇㅓㅇㅜㄷㅏ,ㅇㅇㄷ,殴打 ,,"1,3",1
어우 ᄛᅡᆫ,ㅇㅓㅇㅜㄹ`ㅏㄴ,ㅇㅇㄹ`,偶然 ,,"3,2",1
어우 시앙,ㅇㅓㅇㅜㅅㅣㅇㅏㅇ,ㅇㅇㅅㅇ,偶像 ,,"3,4",1
어우 시앙 쥐,ㅇㅓㅇㅜㅅㅣㅇㅏㅇㅈㅜㅣ,ㅇㅇㅅㅇㅈ,偶像剧,,"3,4,4",1
어우 얼,ㅇㅓㅇㅜㅇㅓㄹ,ㅇㅇㅇ,偶尔 ,,"3,3",1
어우 죠우,ㅇㅓㅇㅜㅈㅛㅇㅜ,ㅇㅇㅈㅇ,欧洲 ,,"1,1",1
어우 투,ㅇㅓㅇㅜㅌㅜ,ㅇㅇㅌ,呕吐 ,,"3,4",1
어ᅍᅳ,ㅇㅓㅈ`ᅳ,ㅇㅈ`,遏制 ,,"4,4",1
언,ㅇㅓㄴ,ㅇ,恩,恩,1,1
얼,ㅇㅓㄹ,ㅇ,而,而,2,1
얼,ㅇㅓㄹ,ㅇ,儿,兒,2,2
얼,ㅇㅓㄹ,ㅇ,耳,耳,3,5
얼,ㅇㅓㄹ,ㅇ,尔,尔,3,4
얼,ㅇㅓㄹ,ㅇ,二,二,4,3
얼 양 화 탄,ㅇㅓㄹㅇㅑㅇㅎㅗㅏㅌㅏㄴ,ㅇㅇㅎㅌ,二氧化碳 ,,"4,3,4,4",1
얼둬,ㅇㅓㄹㄷㅜㅓ,ㅇㄷ,耳朵 ,,"3,0",1
얼례,ㅇㅓㄹㄹㅖ,ㅇㄹ,恶劣 ,,"4,4",1
얼이,ㅇㅓㄹㅇㅣ,ㅇㅇ,而已 ,,"2,3",1
얼쯔,ㅇㅓㄹㅉㅡ,ㅇㅉ,儿子 ,,"2,0",1
얼쳬,ㅇㅓㄹㅊㅖ,ㅇㅊ,而且 ,,"2,3",1
얼퉁,ㅇㅓㄹㅌㅜㅇ,ㅇㅌ,儿童 ,,"2,2",1
얼화,ㅇㅓㄹㅎㅗㅏ,ㅇㅎ,恶化 ,,"4,4",1
얼환,ㅇㅓㄹㅎㅗㅏㄴ,ㅇㅎ,耳环 ,,"3,2",1
예,ㅇㅖ,ㅇ,爷,爺,2,8
예,ㅇㅖ,ㅇ,液,液,4,5
예,ㅇㅖ,ㅇ,业,業,4,3
예,ㅇㅖ,ㅇ,页,页,4,7
예,ㅇㅖ,ㅇ,叶,葉,4,4
예,ㅇㅖ,ㅇ,也,也,3,1
예,ㅇㅖ,ㅇ,野,野,3,6
예,ㅇㅖ,ㅇ,夜,夜,4,2
예만,ㅇㅖㅁㅏㄴ,ㅇㅁ,野蛮 ,,"3,2",1
예셩,ㅇㅖㅅㅕㅇ,ㅇㅅ,野生 ,,"3,1",1
예쉬,ㅇㅖㅅㅜㅣ,ㅇㅅ,也许 ,,"3,3",1
예신,ㅇㅖㅅㅣㄴ,ㅇㅅ,野心 ,,"3,1",1
예예,ㅇㅖㅇㅖ,ㅇㅇ,爷爷 ,,"2,0",1
예우,ㅇㅖㅇㅜ,ㅇㅇ,业务 ,,"4,4",1
예위,ㅇㅖㅇㅜㅣ,ㅇㅇ,业余 ,,"4,2",1
예쯔,ㅇㅖㅉㅡ,ㅇㅉ,叶子 ,,"4,0",1
예티,ㅇㅖㅌㅣ,ㅇㅌ,液体 ,,"4,3",1
옌,ㅇㅖㄴ,ㅇ,颜,颜,2,9
옌,ㅇㅖㄴ,ㅇ,言,言,2,4
옌,ㅇㅖㄴ,ㅇ,严,嚴,2,8
옌,ㅇㅖㄴ,ㅇ,延,延,2,10
옌,ㅇㅖㄴ,ㅇ,研,研,2,11
옌,ㅇㅖㄴ,ㅇ,盐,鹽,2,5
옌,ㅇㅖㄴ,ㅇ,宴,宴,4,14
옌,ㅇㅖㄴ,ㅇ,燕,燕,4,2
옌,ㅇㅖㄴ,ㅇ,艳,艷,4,12
옌,ㅇㅖㄴ,ㅇ,验,驗,4,13
옌,ㅇㅖㄴ,ㅇ,眼,眼,3,1
옌,ㅇㅖㄴ,ㅇ,演,演,3,7
옌,ㅇㅖㄴ,ㅇ,烟,烟,1,6
옌,ㅇㅖㄴ,ㅇ,燕,燕,1,3
옌 레이,ㅇㅖㄴㄹㅔㅇㅣ,ㅇㄹㅇ,眼泪,,"3,4",1
옌 쇼우,ㅇㅖㄴㅅㅛㅇㅜ,ㅇㅅㅇ,验收 ,,"4,1",1
옌 시아,ㅇㅖㄴㅅㅣㅇㅏ,ㅇㅅㅇ,眼下 ,,"3,4",1
옌 위안,ㅇㅖㄴㅇㅜㅣㅇㅏㄴ,ㅇㅇㅇ,演员 ,,"3,2",1
옌 조우,ㅇㅖㄴㅈㅗㅇㅜ,ㅇㅈㅇ,演奏 ,,"3,4",1
옌 지앙,ㅇㅖㄴㅈㅣㅇㅏㅇ,ㅇㅈㅇ,演讲 ,,"3,3",1
옌 지우 셩,ㅇㅖㄴㅈㅣㅇㅜㅅㅕㅇ,ㅇㅈㅇㅅ,研究生 ,,"2,1,1",1
옌 하이,ㅇㅖㄴㅎㅏㅇㅣ,ㅇㅎㅇ,沿海 ,,"2,3",1
옌 화 바오 쥬,ㅇㅖㄴㅎㅗㅏㅂㅏㅇㅗㅈㅠ,ㅇㅎㅂㅇㅈ,烟花爆竹 ,,"1,1,4,2",1
옌 후이,ㅇㅖㄴㅎㅜㅇㅣ,ㅇㅎㅇ,宴会 ,,"4,4",1
옌거,ㅇㅖㄴㄱㅓ,ㅇㄱ,严格 ,,"2,2",1
옌룬,ㅇㅖㄴㄹㅜㄴ,ㅇㄹ,言论 ,,"2,4",1
옌리,ㅇㅖㄴㄹㅣ,ㅇㄹ,严厉 ,,"2,4",1
옌이,ㅇㅖㄴㅇㅣ,ㅇㅇ,演绎 ,,"3,4",1
옌ᄛᅥ,ㅇㅖㄴㄹ`ㅓ,ㅇㄹ`,炎热 ,,"2,4",1
옌모,ㅇㅖㄴㅁㅗ,ㅇㅁ,淹没 ,,"1,4",1
옌미,ㅇㅖㄴㅁㅣ,ㅇㅁ,严密 ,,"2,4",1
옌볜,ㅇㅖㄴㅂㅖㄴ,ㅇㅂ,演变 ,,"3,4",1
옌서,ㅇㅖㄴㅅㅓ,ㅇㅅ,颜色 ,,"2,4",1
옌서,ㅇㅖㄴㅅㅓ,ㅇㅅ,眼色 ,,"3,4",2
옌션,ㅇㅖㄴㅅㅕㄴ,ㅇㅅ,延伸 ,,"2,1",2
옌션,ㅇㅖㄴㅅㅕㄴ,ㅇㅅ,眼神 ,,"3,2",1
옌수,ㅇㅖㄴㅅㅜ,ㅇㅅ,严肃 ,,"2,4",1
옌쉬,ㅇㅖㄴㅅㅜㅣ,ㅇㅅ,延续 ,,"2,4",1
옌시,ㅇㅖㄴㅅㅣ,ㅇㅅ,演习 ,,"3,2",1
옌ᄵᅳ,ㅇㅖㄴㅅ`ᅳ,ㅇㅅ`,掩饰 ,,"3,4",2
옌ᄵᅳ,ㅇㅖㄴㅅ`ᅳ,ㅇㅅ`,岩石 ,,"2,2",1
옌우,ㅇㅖㄴㅇㅜ,ㅇㅇ,厌恶 ,,"4,4",1
옌졍,ㅇㅖㄴㅈㅕㅇ,ㅇㅈ,验证 ,,"4,4",1
옌쥔,ㅇㅖㄴㅈㅜㅣㄴ,ㅇㅈ,严峻 ,,"2,4",1
옌즁,ㅇㅖㄴㅈㅠㅇ,ㅇㅈ,严重 ,,"2,4",1
옌지,ㅇㅖㄴㅈㅣ,ㅇㅈ,演技 ,,"3,4",1
옌진,ㅇㅖㄴㅈㅣㄴ,ㅇㅈ,严禁 ,,"2,4",1
옌징,ㅇㅖㄴㅈㅣㅇ,ㅇㅈ,眼镜 ,,"3,4",2
옌징,ㅇㅖㄴㅈㅣㅇ,ㅇㅈ,眼睛 ,,"3,0",1
옌챵,ㅇㅖㄴㅊㅑㅇ,ㅇㅊ,延长 ,,"2,2",1
옌쳰,ㅇㅖㄴㅊㅖㄴ,ㅇㅊ,眼前 ,,"3,2",1
옌츄,ㅇㅖㄴㅊㅠ,ㅇㅊ,演出 ,,"3,1",1
옌치,ㅇㅖㄴㅊㅣ,ㅇㅊ,延期 ,,"2,1",1
옌칭,ㅇㅖㄴㅊㅣㅇ,ㅇㅊ,宴请 ,,"4,3",2
옌칭,ㅇㅖㄴㅊㅣㅇ,ㅇㅊ,言情,,"2,2",1
옌칭쥐,ㅇㅖㄴㅊㅣㅇㅈㅜㅣ,ㅇㅊㅈ,言情剧,,"2,2,4",1
옌핀,ㅇㅖㄴㅍㅣㄴ,ㅇㅍ,样品,,"4,3",1
옌한,ㅇㅖㄴㅎㅏㄴ,ㅇㅎ,严寒 ,,"2,2",1
옌환,ㅇㅖㄴㅎㅗㅏㄴ,ㅇㅎ,延缓 ,,"2,3",1
옌후,ㅇㅖㄴㅎㅜ,ㅇㅎ,掩护 ,,"3,4",1
와,ㅇㅗㅏ,ㅇ,娃,娃,2,1
와,ㅇㅗㅏ,ㅇ,袜,襪,4,2
와와,ㅇㅗㅏㅇㅗㅏ,ㅇㅇ,娃娃 ,,"2,0",1
와이,ㅇㅗㅏㅇㅣ,ㅇㅇ,歪,歪,1,2
와이,ㅇㅗㅏㅇㅣ,ㅇㅇ,外,外,4,1
와이 뱌오,ㅇㅗㅏㅇㅣㅂㅑㅇㅗ,ㅇㅇㅂㅇ,外表 ,,"4,3",1
와이 시앙,ㅇㅗㅏㅇㅣㅅㅣㅇㅏㅇ,ㅇㅇㅅㅇ,外向 ,,"4,4",1
와이 졔,ㅇㅗㅏㅇㅣㅈㅖ,ㅇㅇㅈ,外界 ,,"4,4",1
와이 지아오,ㅇㅗㅏㅇㅣㅈㅣㅇㅏㅇㅗ,ㅇㅇㅈㅇㅇ,外交 ,,"4,1",1
와이 취,ㅇㅗㅏㅇㅣㅊㅜㅣ,ㅇㅇㅊ,歪曲 ,,"1,1",1
와이 항,ㅇㅗㅏㅇㅣㅎㅏㅇ,ㅇㅇㅎ,外行 ,,"4,2",1
와졔,ㅇㅗㅏㅈㅖ,ㅇㅈ,瓦解 ,,"3,3",1
와쯔,ㅇㅗㅏㅉㅡ,ㅇㅉ,袜子 ,,"4,0",1
완,ㅇㅗㅏㄴ,ㅇ,完,完,2,2
완,ㅇㅗㅏㄴ,ㅇ,玩,玩,2,1
완,ㅇㅗㅏㄴ,ㅇ,万,萬,4,4
완,ㅇㅗㅏㄴ,ㅇ,挽,挽,3,7
완,ㅇㅗㅏㄴ,ㅇ,晚,晚,3,3
완,ㅇㅗㅏㄴ,ㅇ,碗,碗,3,5
완,ㅇㅗㅏㄴ,ㅇ,弯,彎,1,6
완 메이,ㅇㅗㅏㄴㅁㅔㅇㅣ,ㅇㅁㅇ,完美 ,,"2,3",1
완 베이,ㅇㅗㅏㄴㅂㅔㅇㅣ,ㅇㅂㅇ,完备 ,,"2,4",1
완 이얼,ㅇㅗㅏㄴㅇㅣㅇㅓㄹ,ㅇㅇㅇ,玩意儿 ,,"2,4",1
완 지우,ㅇㅗㅏㄴㅈㅣㅇㅜ,ㅇㅈㅇ,挽救 ,,"3,4",1
완 취안,ㅇㅗㅏㄴㅊㅜㅣㅇㅏㄴ,ㅇㅊㅇ,完全 ,,"2,2",1
완 치앙,ㅇㅗㅏㄴㅊㅣㅇㅏㅇ,ㅇㅊㅇ,顽强 ,,"2,2",1
완 후이,ㅇㅗㅏㄴㅎㅜㅇㅣ,ㅇㅎㅇ,挽回 ,,"3,2",1
완구,ㅇㅗㅏㄴㄱㅜ,ㅇㄱ,顽固 ,,"2,4",1
완눙,ㅇㅗㅏㄴㄴㅜㅇ,ㅇㄴ,玩弄 ,,"2,4",1
완비,ㅇㅗㅏㄴㅂㅣ,ㅇㅂ,完毕 ,,"2,4",1
완샨,ㅇㅗㅏㄴㅅㅑㄴ,ㅇㅅ,完善 ,,"2,4",1
완샹,ㅇㅗㅏㄴㅅㅑㅇ,ㅇㅅ,晚上 ,,"3,0",1
완시,ㅇㅗㅏㄴㅅㅣ,ㅇㅅ,惋惜 ,,"3,1",1
완이,ㅇㅗㅏㄴㅇㅣ,ㅇㅇ,万一 ,,"4,1",1
완졍,ㅇㅗㅏㄴㅈㅕㅇ,ㅇㅈ,完整 ,,"2,3",1
완쥐,ㅇㅗㅏㄴㅈㅜㅣ,ㅇㅈ,玩具 ,,"2,4",1
완쳥,ㅇㅗㅏㄴㅊㅕㅇ,ㅇㅊ,完成 ,,"2,2",1
완ᅗᅥᆫ,ㅇㅗㅏㄴㅍ`ㅓㄴ,ㅇㅍ`,万分 ,,"4,1",1
왕,ㅇㅗㅏㅇ,ㅇ,王,王,2,1
왕,ㅇㅗㅏㅇ,ㅇ,忘,忘,4,2
왕,ㅇㅗㅏㅇ,ㅇ,望,望,4,5
왕,ㅇㅗㅏㅇ,ㅇ,旺,旺,4,6
왕,ㅇㅗㅏㅇ,ㅇ,王,王,4,7
왕,ㅇㅗㅏㅇ,ㅇ,网,網,3,3
왕,ㅇㅗㅏㅇ,ㅇ,往,往,3,4
왕 라이,ㅇㅗㅏㅇㄹㅏㅇㅣ,ㅇㄹㅇ,往来 ,,"3,2",1
왕 시앙,ㅇㅗㅏㅇㅅㅣㅇㅏㅇ,ㅇㅅㅇ,妄想 ,,"4,3",1
왕 치우,ㅇㅗㅏㅇㅊㅣㅇㅜ,ㅇㅊㅇ,网球 ,,"3,2",1
왕뤄,ㅇㅗㅏㅇㄹㅜㅓ,ㅇㄹ,网络 ,,"3,4",1
왕ᄵᅳ,ㅇㅗㅏㅇㅅ`ᅳ,ㅇㅅ`,往事 ,,"3,4",1
왕왕,ㅇㅗㅏㅇㅇㅗㅏㅇ,ㅇㅇ,往往 ,,"3,3",1
왕쟌,ㅇㅗㅏㅇㅈㅑㄴ,ㅇㅈ,网站 ,,"3,4",1
왕지,ㅇㅗㅏㅇㅈㅣ,ㅇㅈ,忘记 ,,"4,4",1
왕지,ㅇㅗㅏㅇㅈㅣ,ㅇㅈ,旺季,,"4,4",2
왕챵,ㅇㅗㅏㅇㅊㅑㅇ,ㅇㅊ,往常 ,,"3,2",1
왕ᅗᅡᆫ,ㅇㅗㅏㅇㅍ`ㅏㄴ,ㅇㅍ`,往返,,"3,3",1
요,ㅇㅛ,ㅇ,哟,哟,5,1
용간,ㅇㅛㅇㄱㅏㄴ,ㅇㄱ,勇敢 ,,"3,3",1
우,ㅇㅜ,ㅇ,无,無,2,1
우,ㅇㅜ,ㅇ,务,務,4,10
우,ㅇㅜ,ㅇ,雾,霧,4,8
우,ㅇㅜ,ㅇ,物,物,4,5
우,ㅇㅜ,ㅇ,恶,惡,4,12
우,ㅇㅜ,ㅇ,误,誤,4,9
우,ㅇㅜ,ㅇ,武,武,3,6
우,ㅇㅜ,ㅇ,五,五,3,3
우,ㅇㅜ,ㅇ,午,午,3,2
우,ㅇㅜ,ㅇ,污,污,1,11
우,ㅇㅜ,ㅇ,舞,舞,3,4
우,ㅇㅜ,ㅇ,屋,屋,1,7
우 나이,ㅇㅜㄴㅏㅇㅣ,ㅇㄴㅇ,无奈 ,,"2,4",1
우 넝 웨이 리,ㅇㅜㄴㅓㅇㅇㅜㅔㅇㅣㄹㅣ,ㅇㄴㅇㅇㄹ,无能为力 ,,"2,2,2,4",1
우 다오,ㅇㅜㄷㅏㅇㅗ,ㅇㄷㅇ,舞蹈 ,,"3,3",1
우 둥 위 즁,ㅇㅜㄷㅜㅇㅇㅜㅣㅈㅠㅇ,ㅇㄷㅇㅈ,无动于衷 ,,"2,4,2,1",1
우 라이,ㅇㅜㄹㅏㅇㅣ,ㅇㄹㅇ,无赖 ,,"2,4",1
우 랴오,ㅇㅜㄹㅑㅇㅗ,ㅇㄹㅇ,无聊 ,,"2,2",1
우 리 취 나오,ㅇㅜㄹㅣㅊㅜㅣㄴㅏㅇㅗ,ㅇㄹㅊㄴㅇ,无理取闹 ,,"2,3,3,4",1
우 메이 지아 롄,ㅇㅜㅁㅔㅇㅣㅈㅣㅇㅏㄹㅖㄴ,ㅇㅁㅇㅈㅇㄹ,物美价廉 ,,"4,3,4,2",1
우 시아,ㅇㅜㅅㅣㅇㅏ,ㅇㅅㅇ,武侠 ,,"3,2",1
우 웨이 부 ᅍᅳ,ㅇㅜㅇㅜㅔㅇㅣㅂㅜㅈ`ᅳ,ㅇㅇㅇㅂㅈ`,无微不至 ,,"2,1,2,4",1
우 유 우 뤼,ㅇㅜㅇㅠㅇㅜㄹㅜㅣ,ㅇㅇㅇㄹ,无忧无虑 ,,"2,1,2,4",1
우 쥬앙,ㅇㅜㅈㅠㅇㅏㅇ,ㅇㅈㅇ,武装 ,,"3,1",1
우 진 다 차이,ㅇㅜㅈㅣㄴㄷㅏㅊㅏㅇㅣ,ㅇㅈㄷㅊㅇ,无精打采 ,,"2,1,3,3",1
우 치웅 우 지 ,ㅇㅜㅊㅣㅇㅜㅇㅇㅜㅈㅣ,ㅇㅊㅇㅇㅈ,无穷无尽 ,,"2,2,2,4",1
우 커 나이 허,ㅇㅜㅋㅓㄴㅏㅇㅣㅎㅓ,ㅇㅋㄴㅇㅎ,无可奈何 ,,"2,3,4,2",1
우 커 ᅗᅥᆼ 가오,ㅇㅜㅋㅓㅍ`ㅓㅇㄱㅏㅇㅗ,ㅇㅇㅍ`ㄱㅇ,无可奉告 ,,"2,3,4,4",1
우 페이,ㅇㅜㅍㅔㅇㅣ,ㅇㅍㅇ,无非 ,,"2,1",1
우 화 ᄛᅥ우,ㅇㅜㅎㅗㅏㄹ`ㅓㅇㅜ,ㅇㅎㄹ`ㅇ,五花肉 ,,"3,1,4",1
우 후이,ㅇㅜㅎㅜㅇㅣ,ㅇㅎㅇ,误会 ,,"4,4",1
우룬,ㅇㅜㄹㅜㄴ,ㅇㄹ,无论 ,,"2,4",1
우리,ㅇㅜㄹㅣ,ㅇㄹ,物理 ,,"4,3",1
우ᄛᅡᆫ,ㅇㅜㄹ`ㅏㄴ,ㅇㄹ`,污染 ,,"1,3",1
우몌,ㅇㅜㅁㅖ,ㅇㅁ,污蔑 ,,"1,4",1
우비,ㅇㅜㅂㅣ,ㅇㅂ,无比 ,,"2,3",1
우비,ㅇㅜㅂㅣ,ㅇㅂ,务必 ,,"4,4",2
우슈,ㅇㅜㅅㅠ,ㅇㅅ,武术 ,,"3,4",2
우슈,ㅇㅜㅅㅠ,ㅇㅅ,无数 ,,"2,4",1
우ᄵᅳ,ㅇㅜㅅ`ᅳ,ㅇㅅ`,误事 ,,"4,4",2
우ᄵᅳ,ㅇㅜㅅ`ᅳ,ㅇㅅ`,务实 ,,"4,2",1
우졔,ㅇㅜㅈㅖ,ㅇㅈ,误解 ,,"4,3",1
우ᅍᅳ,ㅇㅜㅈ`ᅳ,ㅇㅈ`,物质 ,,"4,4",1
